ip,hostname,asn,country,events,event_nodes,event_categories_c,event_categories,rep_score,blacklists,tags,ts_added,ts_last_event
64.62.197.112,scan-47e.shadowserver.org,6939,US,3850,5,3,AnomalyTraffic|AttemptLogin|ReconScanning,0.8517857142857144,dshield|turris_greylist|abuseipdb|spamhaus-xbl-cbl|uceprotect|blocklist_de-ssh|ciarmy,reconscanning|whitelist|researchscanners,2021-03-24T16:22:28Z,2025-08-10T18:18:37Z
64.62.197.112,scan-47e.shadowserver.org,6939,US,3850,5,3,AnomalyTraffic|AttemptLogin|ReconScanning,0.8517857142857144,dshield|turris_greylist|abuseipdb|spamhaus-xbl-cbl|uceprotect|blocklist_de-ssh|ciarmy,reconscanning|whitelist|researchscanners,2021-03-24T16:22:28Z,2025-08-10T18:18:37Z
64.62.197.112,scan-47e.shadowserver.org,6939,US,3850,5,3,AnomalyTraffic|AttemptLogin|ReconScanning,0.8517857142857144,dshield|turris_greylist|abuseipdb|spamhaus-xbl-cbl|uceprotect|blocklist_de-ssh|ciarmy,reconscanning|whitelist|researchscanners,2021-03-24T16:22:28Z,2025-08-10T18:18:37Z
64.62.197.112,scan-47e.shadowserver.org,6939,US,3850,5,3,AnomalyTraffic|AttemptLogin|ReconScanning,0.8517857142857144,dshield|turris_greylist|abuseipdb|spamhaus-xbl-cbl|uceprotect|blocklist_de-ssh|ciarmy,reconscanning|whitelist|researchscanners,2021-03-24T16:22:28Z,2025-08-10T18:18:37Z
64.62.197.112,scan-47e.shadowserver.org,6939,US,3850,5,3,AnomalyTraffic|AttemptLogin|ReconScanning,0.8517857142857144,dshield|turris_greylist|abuseipdb|spamhaus-xbl-cbl|uceprotect|blocklist_de-ssh|ciarmy,reconscanning|whitelist|researchscanners,2021-03-24T16:22:28Z,2025-08-10T18:18:37Z
64.62.197.112,scan-47e.shadowserver.org,6939,US,3850,5,3,AnomalyTraffic|AttemptLogin|ReconScanning,0.8517857142857144,dshield|turris_greylist|abuseipdb|spamhaus-xbl-cbl|uceprotect|blocklist_de-ssh|ciarmy,reconscanning|whitelist|researchscanners,2021-03-24T16:22:28Z,2025-08-10T18:18:37Z
64.62.197.112,scan-47e.shadowserver.org,6939,US,3850,5,3,AnomalyTraffic|AttemptLogin|ReconScanning,0.8517857142857144,dshield|turris_greylist|abuseipdb|spamhaus-xbl-cbl|uceprotect|blocklist_de-ssh|ciarmy,reconscanning|whitelist|researchscanners,2021-03-24T16:22:28Z,2025-08-10T18:18:37Z
64.62.197.112,scan-47e.shadowserver.org,6939,US,3850,5,3,AnomalyTraffic|AttemptLogin|ReconScanning,0.8517857142857144,dshield|turris_greylist|abuseipdb|spamhaus-xbl-cbl|uceprotect|blocklist_de-ssh|ciarmy,reconscanning|whitelist|researchscanners,2021-03-24T16:22:28Z,2025-08-10T18:18:37Z
64.62.197.112,scan-47e.shadowserver.org,6939,US,3850,5,3,AnomalyTraffic|AttemptLogin|ReconScanning,0.8517857142857144,dshield|turris_greylist|abuseipdb|spamhaus-xbl-cbl|uceprotect|blocklist_de-ssh|ciarmy,reconscanning|whitelist|researchscanners,2021-03-24T16:22:28Z,2025-08-10T18:18:37Z
64.62.197.112,scan-47e.shadowserver.org,6939,US,3850,5,3,AnomalyTraffic|AttemptLogin|ReconScanning,0.8517857142857144,dshield|turris_greylist|abuseipdb|spamhaus-xbl-cbl|uceprotect|blocklist_de-ssh|ciarmy,reconscanning|whitelist|researchscanners,2021-03-24T16:22:28Z,2025-08-10T18:18:37Z
