ip,hostname,asn,country,events,event_nodes,event_categories_c,event_categories,rep_score,blacklists,tags,ts_added,ts_last_event
179.43.189.98,hostedby.privatelayer.com,51852,CH,13865,16,4,AnomalyTraffic|AttemptLogin|IntrusionUserCompromise|ReconScanning,0.9982514880952381,blocklist_de-ssh|blocklist_net_ua_ips|uceprotect|bruteforceblocker|abuseipdb|dataplane_org_sshpwauth|turris_greylist|firehol_anonymous|spamhaus-xbl-cbl|blocklist_de-sip|ciarmy|blocklist_de-strongips,attemptlogin,2025-07-15T19:08:49Z,2025-08-10T18:10:59Z
78.128.112.74,ip-112-74.4vendeta.com,202325,BG,4201,15,4,AnomalyTraffic|AttemptLogin|IntrusionUserCompromise|ReconScanning,0.9950892857142859,blocklist_net_ua_ips|blocklist_de-ssh|dataplane_org_sshpwauth|bruteforceblocker|abuseipdb|firehol_anonymous|turris_greylist|uceprotect|blocklist_de-sip,ip_in_hostname|attemptlogin|reconscanning,2025-05-28T12:16:17Z,2025-08-10T18:21:06Z
193.32.162.157,,47890,RO,14929,19,5,AnomalyTraffic|AttemptLogin|IntrusionUserCompromise|Malware|ReconScanning,0.9922619047619048,spamhaus-sbl|spamhaus-drop|spamhaus-pbl|abuseipdb|blocklist_de-ssh|uceprotect|blocklist_net_ua_ips|bruteforceblocker|dataplane_org_sshpwauth|spamhaus-xbl-cbl|blocklist_de-sip|firehol_anonymous|turris_greylist|blocklist_de-strongips,reconscanning|attemptlogin,2025-05-10T13:46:54Z,2025-08-10T17:23:13Z
149.100.11.243,,174,ES,5234,14,3,AnomalyTraffic|AttemptLogin|ReconScanning,0.990811011904762,abuseipdb|turris_greylist|uceprotect|blocklist_de-ssh,reconscanning,2025-04-23T18:49:59Z,2025-08-10T10:12:38Z
45.135.232.24,,198953,RU,71404,14,2,AttemptLogin|IntrusionUserCompromise,0.9902901785714285,spamhaus-sbl|spamhaus-drop|abuseipdb|turris_greylist,attemptlogin,2025-05-10T14:41:19Z,2025-08-10T18:26:07Z
176.32.195.85,,197834,AM,17876,22,7,AnomalyTraffic|AttemptLogin|IntrusionUserCompromise|IntrusionUserCompromise+AttemptExploit|IntrusionUserCompromise+AttemptExploit+IntrusionUserCompromise+AttemptExploit+IntrusionUserCompromise+AttemptExploit|IntrusionUserCompromise+AttemptExploit+IntrusionUserCompromise+AttemptExploit+IntrusionUserCompromise+AttemptExploit+IntrusionUserCompromise+AttemptExploit+IntrusionUserCompromise+AttemptExploit|ReconScanning,0.9882742745535715,blocklist_de-ssh|ciarmy|abuseipdb|uceprotect|turris_greylist|dataplane_org_vnc_rfb|dataplane_org_smtp_greet|spamhaus-xbl-cbl|blocklist_de-ftp|dataplane_org_telnet_login|blocklist_de-apache|blocklist_net_ua_ips,reconscanning,2025-06-19T14:22:43Z,2025-08-10T18:27:56Z
195.178.110.160,,48090,BG,349817,16,5,AnomalyTraffic|AttemptLogin|IntrusionUserCompromise|Malware|ReconScanning,0.9882626488095237,spamhaus-sbl|spamhaus-drop|blocklist_net_ua_ips|blocklist_de-ssh|uceprotect|abuseipdb|dataplane_org_sshpwauth|turris_greylist|spamhaus-xbl-cbl|blocklist_de-sip|blocklist_de-strongips|crowdsec,reconscanning|attemptlogin|malware,2025-06-12T17:44:30Z,2025-08-10T17:08:19Z
45.148.10.240,,48090,NL,10408,17,4,AnomalyTraffic|AttemptLogin|IntrusionUserCompromise|ReconScanning,0.9869605654761905,spamhaus-sbl|blocklist_de-ssh|abuseipdb|uceprotect|blocklist_de-sip|blocklist_net_ua_ips|spamhaus-xbl-cbl|blocklist_de-strongips|dataplane_org_sshpwauth|spamhaus-drop|turris_greylist|crowdsec,reconscanning|attemptlogin,2024-09-17T10:11:51Z,2025-08-10T18:15:13Z
195.178.110.224,,48090,BG,2957,13,4,AnomalyTraffic|AttemptLogin|IntrusionUserCompromise|ReconScanning,0.9868675595238096,spamhaus-sbl|spamhaus-drop|blocklist_de-ssh|uceprotect|bruteforceblocker|abuseipdb|dataplane_org_sshpwauth|firehol_anonymous|crowdsec|spamhaus-xbl-cbl|blocklist_net_ua_ips,reconscanning|attemptlogin,2025-07-09T15:12:36Z,2025-08-10T17:38:04Z
196.251.114.29,,,SC,46140,16,2,AttemptLogin|ReconScanning,0.9856026785714286,abuseipdb|uceprotect|spamhaus-sbl|spamhaus-drop|turris_greylist|blocklist_de-ssh|crowdsec,reconscanning,2025-02-13T17:35:47Z,2025-08-10T18:25:49Z
